ID,PN,IPC,Title,Abstract,Year,Keywords,Novelty
160001,EP1326177A4,"[""G06F17/30"", ""G06F19/12""]",METHOD OF FORMING MOLECULAR FUNCTION NETWORK,"A method of generating a molecule-function network including bio-events by carrying out a connect search using a biomolecule-linkage database including information on the bio-events, and a method of predicting a pathway between an arbitrary biomolecule and an arbitrary bio-event in said network or a method of predicting the bio-events to which an arbitrary biomolecule in said network is related.",2001.0,"[""generating molecule function"", ""bio events arbitrary"", ""network including bio"", ""biomolecule linkage"", ""method predicting pathway""]",14.423872404693816
160009,JP2002304189A,"[""G06F17/22"", ""G06F17/28"", ""G10L15/00"", ""G10L15/06"", ""G10L15/10"", ""G10L15/18"", ""G10L15/28""]","METHOD AND DEVICE FOR DOCUMENTATION USING VOICE RECOGNITION, RECOGNITION DICTIONARY GENERATION PROGRAM, AND RECORDING MEDIUM WITH THE PROGRAM RECORDED","PROBLEM TO BE SOLVED: To enable a user to generate a recognition dictionary in a short time, even if he has no expert knowledge. SOLUTION: A recognition dictionary register part 102 analyzes a document designated by the user into morphemes and gives reading Kana (Japanese syllabary), to words other than the words included in a register-inhibited list and registers them in a recognition dictionary 108 for the user.",2001.0,"[""registers recognition"", ""dictionary short time"", ""morphemes gives reading"", ""dictionary 108 user"", ""generate recognition""]",12.36467987104056
170001,US6996374B1,"[""H04B17/00""]",Sector capacity prediction,"Infrastructure network service measurements are used to determine sector capacity, or the like, in a wireless network. The embodiments use a linear regression to predict current usage and/or capacity of the radio-frequency link resources between wireless subscribers and wireless base stations, for example, as an indication of when the link is incapable of supporting additional subscribers. The determination of resource capacity can be refined down to the sector-carrier level (a single carrier within a base station sector). The prediction can be cast in terms of time, which allows network service providers to plan the growth of their base stations to meet subscriber needs. Metrics derived from the regression, such as line slope, also provide useful information about usage and performance.",2002.0,"[""allows network service"", ""predict current usage"", ""regression"", ""subscribers wireless base"", ""determine sector capacity""]",13.879966401067186
170012,KR20030010745A,"[""H04B3/06"", ""H04B7/005"", ""H04L1/00"", ""H04L25/03"", ""H04L7/00"", ""H04N5/21"", ""H04N5/455"", ""H04N7/015"", ""H04N7/24""]",- -1023- - Repetitive-1023-sequence echo-cancellation reference signal for single-carrier digital television broadcast systems,"PURPOSE: A repetition-PN1023-sequence echo-cancellation reference signal for a single-carrier digital television broadcasting system is provided to easily perform adaptive equalization in DTV receivers for training signals, thereby compensating imperfection of DTV signals received via phase transmissions and cable transmissions. CONSTITUTION: A transmitter(01) includes an existing packet assembler(02). The packet assembler(02) is connected to supply data streams assembled in a data randomizer(03). The data randomizer(03) performs an exclusive OR operation for all incoming data and PN sequences. The data randomizer(03) is connected to supply randomized data to a byte assembler(04). The byte assembler(04) is connected to supply randomized data with 8-bit bytes to a reed-solomon encoder(05). The reed-solomon encoder(05) is connected to a convolutional interleaver(06) to supply bytes of the randomized data having inserted forward-error-correction codes. The convolutional interleaver(06) supplies bytes of interleaved data showing data segments of an interleaved data field.",2002.0,"[""reed solomon encoder"", ""supplies bytes interleaved"", ""dtv signals"", ""sequences data randomizer"", ""carrier digital television""]",11.336302245197777
180001,US7076687B2,"[""G06F11/00"", ""G06F11/20"", ""G06F12/00"", ""G06F3/06""]",System and method for bi-directional failure detection of a site in a clustering system,"A method for failure detection comprises: checking, at a first time, a state of a local volume that is mirrored at a second location; issuing a change state command to the local volume; checking, at a second time, the state of the local volume after a host at the second location issues a change state command; comparing the state of the local volume at the first time and at the second time; and initiating a fail over procedure if the state of the local volume is different at the second time from the first time.",2002.0,"[""detection comprises"", ""local volume host"", ""local volume mirrored"", ""time initiating fail"", ""initiating fail procedure""]",12.556451379753788
180016,US2003169829A1,"[""H03F1/32"", ""H04L25/03"", ""H04L27/36"", ""H03F1/26""]",Frequency-dependent magnitude pre-distortion of non-baseband input signals for reducing spurious emissions in communication networks,"Pre-distortion, whose magnitude- and preferably phase- are frequency-dependent, is applied to a non-baseband input signal in order to reduce spurious emissions resulting from subsequent amplification of the signal. In preferred embodiments, the pre-distortion technique of the present invention is implemented in combination with the (frequency-independent) magnitude and phase pre-distortion technique described in U.S. patent application Ser. No. 09/395,490 (""the '490 application""), where the frequency-dependent pre-distortion corresponds to amplifier distortion that has a magnitude that is proportional to the frequency offset from the carrier frequency and a phase shift of ±90° on either side of the carrier frequency. Since these characteristics match those of a differentiator, a thorough correction of this part of the amplifier's distortion can be achieved using a differentiating circuit. Embodiments of the present invention may be implemented in the RF domain. Implementations may also be based on look-up tables that are adaptively updated to ensure optimal performance over time.",2002.0,"[""amplification signal preferred"", ""distortion technique described"", ""thorough correction amplifier"", ""amplifier distortion magnitude"", ""phase pre distortion""]",13.352352693787752
200001,WO03014871A2,"[""G06F"", ""A47C23/00"", ""A47C31/00"", ""A47F5/00"", ""A61M5/00"", ""G06F17/00"", ""G06F17/60"", ""G08B13/14"", ""G08B23/00"", ""G08B5/22"", ""A47B1/03"", ""A47B1/05"", ""A47B23/00"", ""A47B23/04"", ""A61B5/00"", ""A61G12/00"", ""A61G7/05"", ""A61J1/14"", ""A61J7/04"", ""G08B23/00"", ""G16H10/60"", ""A61G7/00"", ""A61G7/015"", ""A61G7/018"", ""A61G7/057""]",PATIENT POINT-OF-CARE COMPUTER SYSTEM,"A point-of-care computer system includes a display (24, 2014) positioned in a point-of-care loction, a computer (12, 2006) coupled to the display, and a network (34, 2004) coupled to the computer to enable the computer to access information stored in a remote location.",2002.0,"[""display"", ""coupled computer enable"", ""computer access information"", ""2014 positioned point"", ""point care""]",14.858392257702716
210001,JP2005086473A,"[""H04M11/00"", ""H04Q9/00"", ""G06F13/00"", ""G06F15/16"", ""G06F17/00"", ""G06F19/00"", ""H04L12/28"", ""H04M11/00"", ""H04Q9/00""]","CONTROLLER, PROGRAM AND STORAGE MEDIUM","&lt;P>PROBLEM TO BE SOLVED: To provide a controller for easily inputting a control command.  &lt;P>SOLUTION: A unit control rule (rule DB) controlling a unit is applied to the controller. The unit control rule is composed of a fixed form rule pattern group for unit control, and it is divided into an event specifying a factor being an object of monitoring, a condition for specifying in which state of the factor being the object of monitoring the unit being the object of control is to be controlled and an action for specifying a control execution content of the unit being the object of control. The controller has a database (knowledge DB 206) for extracting a rule pattern and a parameter which is to be allocated to the pattern from a keyword. The keyword extracted from an input command is compared with the database. The rule pattern and the parameter are extracted. The parameter is allocated to the extracted rule pattern and a control content is acquired.  &lt;P>COPYRIGHT: (C)2005,JPO&amp;NCIPI",2003.0,"[""specifying control execution"", ""database rule pattern"", ""controller unit control"", ""pattern control content"", ""inputting control command""]",12.504388826595028
220001,CA2470118A1,"[""G06F17/20"", ""G06F13/00"", ""G06F13/12"", ""G06F17/24"", ""G06F40/00"", ""G06F9/00"", ""G06K9/00"", ""G06K9/20"", ""G06K9/22""]",ELECTRONIC INK PROCESSING,"An application programming interface instantiates an ink analyzer object that receives document data for a document containing electronic ink content from a software application hosting the document and running on a first processing thread. The ink analyzer object then employs the first thread to make a copy of the document data, provides the copy of the document data to an electronic ink analysis process, and returns control of the first processing thread to the analysis process. After the analysis process has analyzed the electronic ink, the ink analyzer object reconciles the results of the analysis process with current document data for the document.",2003.0,"[""analysis process analysis"", ""thread ink"", ""electronic ink analysis"", ""analyzer object employs"", ""application programming interface""]",12.841443564555853
240001,WO2004004436A2,"[""G06N3/063"", ""G11C11/54""]",ANALOG NEURONS AND NEUROSYNAPTIC NETWORKS,"An analog neural computing medium, neuron and neural networks comprising same are disclosed. The neural computing medium includes a phase change material that has the ability to cumulatively respond to multiple synchronous or asynchronous input signals. The introduction of input signals induces transformations among a plurality of accumulation states of the disclosed neural computing medium. The accumulation states are characterized by a high electrical resistance that is substantially identical for all accumulation states. The high electrical resistance prevents the neural computing medium from transmitting signals. Upon cumulative receipt of energy from one or more input signals that equals or exceeds a threshold value, the neural computing medium fires by transforming to a low resistance state that is capable of transmitting signals. The neural computing medium thus closely mimics the neurosynaptic function of a biological neuron. The disclosed neural computing medium may also be configured to perform a weighting function whereby it weights incoming signals and transmits modified signals. The neural computing medium may thus be configured to provide an accumulation function or weighting function and may readily be reconfigured from one function to the other. The disclosed neurons may also include activation units for further transforming signals transmitted by the accumulation units according to a mathematical operation. The artificial neurons, weighting units, accumulation units and activation units may be connected in a variety of ways to form artificial neural networks. Embodiments of several neural networks are disclosed.",2003.0,"[""neurons weighting"", ""form artificial neural"", ""prevents neural computing"", ""biological neuron disclosed"", ""signals neural computing""]",4.886529113489767
250001,US2004049303A1,"[""B60C11/24"", ""B60T8/172""]",Methods for estimation of tire wear,"A method for controlling the functioning of a tire includes the steps of determining estimations or measurements of the slip Gi and the coefficient of friction mui prevailing at such slip for at least one pair ""i"" of values (Gi, mui); determining the corresponding values of the slope alphai of the straight line passing through the origin and through each pair (Gi, mui); calculating a coefficient B by direct calculation or by a regression from a sufficient number of pairs of (alphai, Gi) so as to estimate the value of slope alpha0 at the origin; and using alpha0 in an indicator of the longitudinal stiffness of the tread pattern.",2003.0,"[""slip pair values"", ""method controlling functioning"", ""gi coefficient friction"", ""tire includes"", ""longitudinal stiffness tread""]",11.014726304394882
260002,JP2006048168A,"[""G06F13/00"", ""G06K9/62"", ""H04N1/00"", ""H04N1/32""]","COMMUNICATION DEVICE, INFORMATION PROCESSING METHOD, PROGRAM, AND STORAGE MEDIUM","&lt;P>PROBLEM TO BE SOLVED: To prevent generation of garbling even if character information depicted by a character code of a different language type is mixed in creation of an electronic mail.  &lt;P>SOLUTION: This communication device is provided with an input means inputting image information, a recognition means extracting the character information included in the image information inputted by the input means and recognizing the type of the character code for the extracted character information, an assembly means assembling the extracted character information to an electronic mail main body part by using the character code of the type recognized by the recognition means and describing identifiers 509, 515, and 526 showing the recognized character code types 510 and 516 and the range for describing the extracted character information to the electronic mail main body part, and a transmission means transmitting the electronic mail data for which assembling by the assembly means is carried out.  &lt;P>COPYRIGHT: (C)2006,JPO&amp;NCIPI",2004.0,"[""recognizing type character"", ""depicted character code"", ""mail data assembling"", ""information recognition means"", ""transmitting electronic mail""]",12.7695711747142
280001,WO2005096647A1,"[""H04M1/253"", ""H04M1/725"", ""H04W4/10"", ""H04W84/08""]",APPARATUS AND METHOD FOR VOICE ACTIVATED COMMUNICATION,"A wireless communication device (12) includes a transceiver (66) to communicate in a push-to-talk mode, and a speech processor (60) having a voice recognition engine (58). The speech processor (60) detects and processes speech signals input by a user and recognizes predetermined voice commands uttered by the user. The transceiver (66) may be controlled to transmit the speech signals in the push-to-talk mode responsive to the detection of the predetermined voice commands.",2004.0,"[""transceiver"", ""speech processor 60"", ""talk mode speech"", ""communicate push talk"", ""wireless communication device""]",14.34209839664716
290001,US7120615B2,"[""G06F17/30"", ""G06N3/02"", ""H04L12/58"", ""H04L29/06"", ""H04L29/08"", ""G06F15/18"", ""G06F17/00""]",Neural network system and method for controlling information output based on user feedback,"A system and method for controlling information output based on user feedback about the information is provided that comprises a plurality of information sources providing information. The information sources may be electronic mail providers, chat participants, or page links. At least one neural network module selects one or more of a plurality of objects to receive information from the plurality of information sources based at least in part on a plurality of inputs and a plurality of weight values during that epoch. At least one server, associated with the neural network module, provides one or more of the objects to a plurality of recipients. The objects may comprise electronic mail messages, chat participants viewers, or slots within a link directory page. The recipients provide feedback about the information during an epoch. At the conclusion of an epoch, the neural network takes all of the feedback that has been provided from the recipients and generates a rating value for each of the plurality of objects. Based on the rating value and the selections made, the neural network redetermines the weight values within the network. The neural network then selects the objects to receive information during a subsequent epoch using the redetermined weight values and the inputs for that subsequent epoch.",2004.0,"[""based user feedback"", ""method controlling information"", ""page links neural"", ""neural network takes"", ""mail messages""]",12.688448012138087
300001,EP1465081A3,"[""G06F17/27"", ""G06F9/45""]",Method and apparatus for compiling two-level morphology rules,"A method of compiling orthography rules includes compiling first and second orthography rules into individual Finite State Transducers by inserting elements of the rules into Finite State Transducer Templates. The individual Finite State Transducers are combined to form a single combined Finite State Transducer. Under one embodiment, Finite State Transducers are first combined based on a common core in the Finite State Transducers. The combined Finite State Transducers for the cores are then combined to form a single Finite State Transducer for the set of orthography rules.",2004.0,"[""transducers combined form"", ""set orthography"", ""finite state transducer"", ""second orthography rules"", ""method compiling orthography""]",5.458759271570513
310001,US2006069801A1,"[""G06F15/16"", ""G06F15/173"", ""G06F3/00""]",Method and apparatus for identifying and classifying network-based distributed applications,"A method and apparatus for specifying the identification and classification of at leat one application having components distributed over selected nodes of a network system is disclosed. The method comprises the steps of creating a first section containing at least one directive for specifying information or initiating at least one external process for discovering characteristics of the application, creating a second section containing at least one directive for specifying information or initiating at least one external process for storing the discovered characteristics, and creating a third section containing at least one directive for specifying information or initiating at least one external process for testing the discovered characteristics.",2005.0,"[""leat application having"", ""application having components"", ""process discovering characteristics"", ""identification classification"", ""network disclosed method""]",12.624329278237605
320001,US2008082289A1,"[""G01K7/00"", ""G06F11/30"", ""G06F19/00""]",Method and System for Estimating Exhaust Gas Temperature and Internal Combustion Engine Equipped with Such a System,"A method for estimating temperature of an internal combustion engine exhaust gases, a system for estimating exhaust gas temperature and an engine equipped with such a system The method uses an estimator with a neural ne work provided with a feedback loop returning directly or indirectly in the network input one or more quantities of the network output.",2005.0,"[""estimator neural ne"", ""engine exhaust"", ""internal combustion engine"", ""gases estimating"", ""method estimating temperature""]",13.632739974460142
340001,CN1852336A,"[""H04Q7/22"", ""G10L13/00"", ""H04M1/00"", ""H04M3/42""]","Terminal, communication device, communication system and communication method","The system includes calling terminal, communication equipment, and called terminal. Through communication equipment, the calling terminal and called terminal carry out communication. The calling terminal and/or called terminal are in use for sending request of converting voice to unit of voice conversion. Being in use for receiving communication information from calling terminal and called terminal, the unit of voice conversion converts voice in communication to text and/or voice in other language based on request of converting voice from calling terminal and/or called terminal. The invention also discloses a communication method. Using voice technique, the invention makes communication of users of using different languages expediently. The described service can become an important bright spot in communication value added service.",2005.0,"[""using voice technique"", ""called terminal communication"", ""communication method using"", ""calling terminal communication"", ""voice conversion use""]",14.555985530807067
360001,JP2008123366A,"[""G06F13/00"", ""G06F3/048"", ""G06Q50/00"", ""G06Q50/10""]","REMOTE WORK SUPPORT SYSTEM, REMOTE WORK SUPPORT PROGRAM, AND SERVER","&lt;P>PROBLEM TO BE SOLVED: To provide a remote work support system, remote work support program, and sever, by a two-way communication of data, sound and image.  &lt;P>SOLUTION: Work steps and contents are indicated on a main part of an indication board, and a number and a title are indicated for each step. An M (maintenance) button for a check by a worker 1 at the time of completion of each step, and a C (center) button for a check by a watcher 2 confirming the work content and the check of the M button by the worker 1 are also indicated for each step. The watcher 2 cannot check the C button unless the M button is checked by the worker 1. Further, the worker 1 cannot go forward to a next step, nor is the next step content indicated unless the C button is checked. When the C button for the last step is checked, work instructions are completed.  &lt;P>COPYRIGHT: (C)2008,JPO&amp;INPIT",2006.0,"[""worker indicated step"", ""work instructions completed"", ""maintenance button check"", ""watcher check button"", ""remote work support""]",10.84035278328116
